Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter
(2017 UA6),2017-Oct-29 04:17Ê±Ê< 00:01,3.99 | 0.01025,3.98 | 0.01023,14.97,14.95,25.7,19 m -   43 m
(2017 UL8),2017-Oct-30 03:27Ê±Ê< 00:01,1.16 | 0.00298,1.16 | 0.00297,10.50,10.42,28.1,6.4 m -   14 m
(2017 UK8),2017-Oct-30 05:18Ê±Ê< 00:01,0.59 | 0.00151,0.59 | 0.00151,14.07,13.95,28.2,6.1 m -   14 m
(2017 VL13),2017-Oct-30 09:36Ê±ÊÊÊÊ00:26,15.82 | 0.04065,15.50 | 0.03982,13.51,13.51,24.7,31 m -   68 m
(2017 UL43),2017-Oct-30 16:47Ê±ÊÊÊÊ00:01,14.14 | 0.03633,14.02 | 0.03603,10.43,10.43,26.3,15 m -   33 m
(2017 VJ),2017-Oct-30 17:26Ê±Ê< 00:01,2.30 | 0.00591,2.30 | 0.00590,11.73,11.70,24.5,33 m -   75 m
(2017 UJ6),2017-Oct-30 20:22Ê±Ê< 00:01,5.49 | 0.01412,5.47 | 0.01406,11.33,11.31,26.6,13 m -   28 m
(2017 UO43),2017-Oct-31 00:41Ê±ÊÊÊÊ00:03,6.58 | 0.01691,6.55 | 0.01683,5.67,5.64,27.9,7.0 m -   16 m
(2017 TZ4),2017-Oct-31 01:39Ê±Ê< 00:01,19.27 | 0.04951,19.09 | 0.04904,13.10,13.09,22.9,70 m -  160 m
503941 (2003 UV11),2017-Oct-31 03:01Ê±Ê< 00:01,14.97 | 0.03847,14.97 | 0.03847,24.52,24.52,19.5,330 m -  750 m
(2017 UP6),2017-Oct-31 08:02Ê±Ê< 00:01,15.03 | 0.03862,14.93 | 0.03838,11.59,11.58,26.1,16 m -   36 m
(2017 UO2),2017-Oct-31 10:07Ê±Ê< 00:01,10.98 | 0.02822,10.92 | 0.02807,8.69,8.68,25.8,18 m -   41 m
(2017 VG13),2017-Nov-01 17:02Ê±Ê< 00:01,17.08 | 0.04389,17.01 | 0.04372,4.89,4.87,26.7,12 m -   27 m
(2017 WQ12),2017-Nov-01 18:36Ê±ÊÊÊÊ00:05,14.64 | 0.03762,14.48 | 0.03721,12.28,12.27,25.3,23 m -   52 m
(2017 UD43),2017-Nov-01 19:45Ê±Ê< 00:01,4.68 | 0.01203,4.67 | 0.01199,8.82,8.80,28.4,5.6 m -   12 m
